sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
276,5,26,-0.0021820347457008676,0.0029558743907448083,1.682849946864379,0.17674503562674318,0.028715019036886294,-17.19371441987505,-2.977888120855211,0.015076273816456874,-0.03184238502416535,0.18446472941543865,-0.1643940864128393,-0.0018264518898003575,-0.0018864473066263867,0.002555459437277432,0.0760650634765625
277,5,27,-0.0018864473066263867,0.002555459437277432,1.682849946864379,0.17674503562678012,0.024825163957984314,-17.193714420083506,-2.9778881204989833,0.015076273816314635,-0.03184238503446383,0.1844647295314941,-0.16439408639421185,-0.0018264519859823103,-0.0016309013628986436,0.002209286347221109,0.12233877182006836
278,5,28,-0.0016309013628986436,0.002209286347221109,1.682849946864379,0.17674503562674468,0.02146224471290245,-17.19371442101512,-2.977888121155683,0.015076273814996523,-0.0318423850226143,0.18446472940381628,-0.16439408639996955,-0.001826451900982527,-0.0014099727281765327,0.0019100072936275338,0.10183453559875488
279,5,29,-0.0014099727281765327,0.0019100072936275338,1.682849946864379,0.17674503562674276,0.018554880398866682,-17.19371442123784,-2.977888121218553,0.01507627381475178,-0.03184238502258907,0.18446472940340136,-0.1643940863971925,-0.0018264519046861983,-0.0012189719988137794,0.0016512698167535614,0.07150650024414062
280,5,30,-0.0012189719988137794,0.0016512698167535614,1.682849946864379,0.17674503562674757,0.016041359662967398,-17.193714421369638,-2.9778881212462207,0.01507627381470234,-0.03184238502367484,0.18446472941268505,-0.16439408639421518,-0.0018264519145704714,-0.0010538450171384234,0.0014275819871508904,0.1371166706085205
281,5,31,-0.0010538450171384234,0.0014275819871508904,1.682849946864379,0.17674503562674485,0.013868330827725373,-17.19371442176596,-2.9778881213246917,0.015076273814113444,-0.031842385022979806,0.1844647294095679,-0.16439408638963598,-0.001826451919093429,-0.0009110868184233343,0.001234195834857076,0.09770321846008301
282,5,32,-0.0009110868184233343,0.001234195834857076,1.682849946864379,0.1767450356267858,0.011989669453364167,-17.193714421117463,-2.97788812087245,0.015076273815211403,-0.03184238503278638,0.18446472951040718,-0.16439408638393463,-0.0018264519879971444,-0.0007876672349376267,0.0010670065694654675,0.08470845222473145
283,5,33,-0.0007876672349376267,0.0010670065694654675,1.682849946864379,0.176745035626854,0.010365499309692834,-17.19371442156616,-2.9778881198839824,0.015076273814629823,-0.03184238505748773,0.18446472979875947,-0.16439408633861713,-0.0018264522253449418,-0.0006809665779910799,0.0009224654526193729,0.07995128631591797
284,5,34,-0.0006809665779910799,0.0009224654526193729,1.682849946864379,0.17674503562674157,0.00896134595917536,-17.193714422169716,-2.9778881214957473,0.015076273813624506,-0.031842385021209126,0.1844647293903818,-0.16439408638714248,-0.0018264519111013513,-0.0005887200327291426,0.0007975044722490381,0.08098411560058594
285,5,35,-0.0005887200327291426,0.0007975044722490381,1.682849946864379,0.17674503562674443,0.007747405022623421,-17.19371442216469,-2.977888121469114,0.015076273813643943,-0.03184238502191683,0.18446472939810088,-0.16439408638614156,-0.0018264519171668455,-0.0005089695855042388,0.0006894712225053671,0.07676959037780762
